month,year,province,temp
1,2018,Jazan,26.09
2,2018,Jazan,26.96
3,2018,Jazan,29.16
4,2018,Jazan,31.65
5,2018,Jazan,33.01
6,2018,Jazan,33.52
7,2018,Jazan,33.24
8,2018,Jazan,33.14
9,2018,Jazan,33.32
10,2018,Jazan,32.04
11,2018,Jazan,29.87
12,2018,Jazan,27.62
13,2018,Jazan,30.82
1,2019,Jazan,26.57
2,2019,Jazan,27.29
3,2019,Jazan,28.6
4,2019,Jazan,31.03
5,2019,Jazan,33.61
6,2019,Jazan,33.73
7,2019,Jazan,33.48
8,2019,Jazan,33.12
9,2019,Jazan,33.5
10,2019,Jazan,31.49
11,2019,Jazan,30.2
12,2019,Jazan,28.15
13,2019,Jazan,30.91
1,2020,Jazan,26.36
2,2020,Jazan,27.15
3,2020,Jazan,28.67
4,2020,Jazan,31.26
5,2020,Jazan,33.43
6,2020,Jazan,33.19
7,2020,Jazan,32.52
8,2020,Jazan,31.45
9,2020,Jazan,33.21
10,2020,Jazan,32.06
11,2020,Jazan,29.65
12,2020,Jazan,27.84
13,2020,Jazan,30.57
1,2021,Jazan,26.53
2,2021,Jazan,26.88
3,2021,Jazan,28.74
4,2021,Jazan,30.69
5,2021,Jazan,33.0
6,2021,Jazan,34.28
7,2021,Jazan,32.72
8,2021,Jazan,31.82
9,2021,Jazan,32.72
10,2021,Jazan,32.05
11,2021,Jazan,30.25
12,2021,Jazan,27.62
13,2021,Jazan,30.62
1,2022,Jazan,26.93
2,2022,Jazan,27.54
3,2022,Jazan,28.49
4,2022,Jazan,32.02
5,2022,Jazan,33.37
6,2022,Jazan,34.18
7,2022,Jazan,32.59
8,2022,Jazan,31.55
9,2022,Jazan,33.74
10,2022,Jazan,32.64
11,2022,Jazan,30.21
12,2022,Jazan,27.99
13,2022,Jazan,30.95
1,2023,Jazan,27.13
2,2023,Jazan,27.69
3,2023,Jazan,29.13
4,2023,Jazan,31.73
5,2023,Jazan,33.19
6,2023,Jazan,33.45
7,2023,Jazan,33.94
8,2023,Jazan,33.92
9,2023,Jazan,34.84
