month,year,destinationProvinceNameEn,originProvinceNameEn,visitPurposeEn,trips,spendSAR,nights
1,2018,Albaha,Alqassim,Leisure,1754.46,2631692.38,5263.38
1,2018,Albaha,Jazan,VFR,1583.6,2375406.99,4750.81
1,2018,Albaha,Madinah,Leisure,12733.95,2.062900213E7,72159.06
1,2018,Albaha,Makkah,Business,6568.35,5327660.65,15326.15
1,2018,Albaha,Makkah,Leisure,68910.76,4.477826467E7,390646.05
1,2018,Albaha,Makkah,VFR,51606.07,2.360628722E7,276908.47
1,2018,Albaha,Najran,Leisure,3270.99,4088741.38,19625.96
1,2018,Albaha,Riyadh,Leisure,3582.75,4478438.89,25079.26
1,2018,Albaha,Riyadh,VFR,8061.19,7613346.1,58219.71
1,2018,Albaha,Tabuk,Leisure,2448.95,4897898.01,34285.29
1,2018,Albaha,Tabuk,VFR,5991.63,8987437.59,179748.75
1,2018,Alqassim,Eastern,Other,1428.46,3214043.79,3571.16
1,2018,Alqassim,Eastern,VFR,2856.93,5356739.65,12141.94
1,2018,Alqassim,Hail,Business,2801.81,1260814.56,9806.34
1,2018,Alqassim,Hail,VFR,1400.91,1400905.06,4202.72
1,2018,Alqassim,Jouf,Leisure,1417.53,1890045.19,4252.6
1,2018,Alqassim,Jouf,VFR,945.02,1512036.15,1890.05
1,2018,Alqassim,Madinah,VFR,1697.86,4244650.64,11885.02
1,2018,Alqassim,Makkah,Business,2189.45,2262431.23,4378.9
1,2018,Alqassim,Makkah,Leisure,6876.36,8806351.34,54200.64
1,2018,Alqassim,Makkah,VFR,24391.95,1.227700058E7,119884.12
1,2018,Alqassim,Najran,VFR,3270.99,4906489.66,22896.95
1,2018,Alqassim,Northern Borders,VFR,914.07,868364.48,2742.2
1,2018,Alqassim,Riyadh,Leisure,2687.06,1343531.67,5374.13
1,2018,Alqassim,Riyadh,VFR,23432.27,1.186639426E7,122009.8
1,2018,Aseer,Albaha,Leisure,2995.18,2495979.43,23961.4
1,2018,Aseer,Alqassim,Leisure,8772.31,3772092.41,56142.77
1,2018,Aseer,Aseer,Leisure,71611.58,2.903344722E7,310740.56
1,2018,Aseer,Aseer,VFR,22653.91,1.448307756E7,85366.32
1,2018,Aseer,Eastern,VFR,5713.86,7142319.54,64995.11
1,2018,Aseer,Jazan,Business,1583.6,791802.33,3167.21
1,2018,Aseer,Jazan,Leisure,19003.26,4750813.97,82347.44
1,2018,Aseer,Jazan,VFR,13496.12,5014401.79,51159.95
1,2018,Aseer,Madinah,Leisure,5093.58,1.001737552E7,30561.48
1,2018,Aseer,Makkah,Business,9584.72,6895779.49,21780.7
1,2018,Aseer,Makkah,Leisure,142702.65,1.194900216E8,745317.15
1,2018,Aseer,Makkah,VFR,87236.59,7.234053566E7,499629.96
1,2018,Aseer,Najran,Leisure,3270.99,2453244.83,16354.97
1,2018,Aseer,Najran,VFR,9569.87,8920089.71,44489.94
1,2018,Aseer,Riyadh,Business,566.29,509660.76,2265.16
1,2018,Aseer,Riyadh,Leisure,17873.13,3.029431123E7,169463.13
1,2018,Aseer,Riyadh,VFR,28332.61,1.776349505E7,194508.63
1,2018,Aseer,Tabuk,VFR,47933.0,9.451788529E7,633614.35
1,2018,Eastern,Albaha,Leisure,1996.78,3494371.2,7987.13
1,2018,Eastern,Alqassim,Business,1754.46,877230.79,14035.69
1,2018,Eastern,Alqassim,Leisure,2631.69,1315846.19,2631.69
1,2018,Eastern,Alqassim,VFR,23068.34,7609270.75,103156.69
1,2018,Eastern,Aseer,Leisure,2427.79,8497259.56,24277.88
1,2018,Eastern,Aseer,VFR,4855.58,9711153.78,24277.88
1,2018,Eastern,Eastern,Business,1083.44,1619694.26,1821.87
1,2018,Eastern,Eastern,Leisure,19726.05,1.254986236E7,65061.35
1,2018,Eastern,Eastern,Other,714.23,214269.59,1428.46
1,2018,Eastern,Eastern,VFR,2536.1,2560032.03,5048.01
1,2018,Eastern,Hail,Other,1400.91,2101357.59,7004.53
1,2018,Eastern,Jazan,Leisure,4750.81,4750813.97,28504.88
1,2018,Eastern,Jazan,VFR,3167.21,6334418.63,15836.05
1,2018,Eastern,Jouf,VFR,945.02,1653789.54,2835.07
1,2018,Eastern,Madinah,Business,848.93,3395720.51,2546.79
1,2018,Eastern,Madinah,Other,848.93,2292111.35,2546.79
1,2018,Eastern,Madinah,VFR,10705.28,1.358539571E7,70648.5
1,2018,Eastern,Makkah,Business,8644.0,1.082510474E7,54552.63
1,2018,Eastern,Makkah,Leisure,62633.73,5.13382677E7,488860.23
1,2018,Eastern,Makkah,Other,2919.27,3649082.64,7298.17
1,2018,Eastern,Makkah,VFR,24067.25,2.477294612E7,184526.74
1,2018,Eastern,Najran,VFR,817.75,2862118.97,4088.74
1,2018,Eastern,Northern Borders,Leisure,2742.2,7152581.08,8226.61
1,2018,Eastern,Northern Borders,VFR,5941.44,6032847.94,25136.87
1,2018,Eastern,Riyadh,Business,15052.93,1.988670762E7,1428263.97
1,2018,Eastern,Riyadh,Leisure,143413.8,9.914607455E7,589355.68
1,2018,Eastern,Riyadh,VFR,52486.81,3.307263109E7,205653.79
1,2018,Eastern,Tabuk,Business,5991.63,1497906.26,23966.5
1,2018,Eastern,Tabuk,Other,2995.81,2995812.53,8987.44
1,2018,Eastern,Tabuk,VFR,8987.44,1.797487517E7,101857.63
1,2018,Hail,Alqassim,Leisure,6140.62,1754461.59,18421.85
1,2018,Hail,Alqassim,VFR,4386.15,2000086.21,15790.15
1,2018,Hail,Eastern,VFR,714.23,428539.17,7142.32
